id	taxonID	scientificName	kingdom	phylum	class	order	family
4486816	4486816	Kleidocerys privignus	Animalia	Arthropoda	Insecta	Hemiptera	Lygaeidae
2007673	2007673	Kleidocerys resedae	Animalia	Arthropoda	Insecta	Hemiptera	Lygaeidae
7448174	7448174	Korscheltellus fusconebulosus	Animalia	Arthropoda	Insecta	Lepidoptera	Hepialidae
5879654	5879654	Korscheltellus lupulina	Animalia	Arthropoda	Insecta	Lepidoptera	Hepialidae
4448894	4448894	Korynetes caeruleus	Animalia	Arthropoda	Insecta	Coleoptera	Cleridae
5867151	5867151	Kosswigianella denticauda	Animalia	Arthropoda	Insecta	Hemiptera	Delphacidae
2056277	2056277	Kosswigianella exigua	Animalia	Arthropoda	Insecta	Hemiptera	Delphacidae
5982841	5982841	Kosswigianella spinosa	Animalia	Arthropoda	Insecta	Hemiptera	Delphacidae
2046571	2046571	Kybos butleri	Animalia	Arthropoda	Insecta	Hemiptera	Cicadellidae
2046640	2046640	Kybos limpidus	Animalia	Arthropoda	Insecta	Hemiptera	Cicadellidae
2046642	2046642	Kybos populi	Animalia	Arthropoda	Insecta	Hemiptera	Cicadellidae
2046700	2046700	Kybos rufescens	Animalia	Arthropoda	Insecta	Hemiptera	Cicadellidae
8538673	8538673	Kybos smaragdula	Animalia	Arthropoda	Insecta	Hemiptera	Cicadellidae
2046688	2046688	Kybos virgator	Animalia	Arthropoda	Insecta	Hemiptera	Cicadellidae
1070383	1070383	Labarrus lividus	Animalia	Arthropoda	Insecta	Coleoptera	Scarabaeidae
2137084	2137084	Labulla thoracica	Animalia	Arthropoda	Arachnida	Araneae	Linyphiidae
1759097	1759097	Lacanobia aliena	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae
1759055	1759055	Lacanobia contigua	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae
1759083	1759083	Lacanobia oleracea	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae
7972792	7972792	Lacanobia splendens	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae
4533952	4533952	Lacanobia suasa	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae
1759069	1759069	Lacanobia thalassina	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae
1759079	1759079	Lacanobia w-latinum	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae
4553401	4553401	Lacinius ephippiatus	Animalia	Arthropoda	Arachnida	Opiliones	Phalangiidae
8326103	8326103	Laelia coenosa	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae
4492710	4492710	Laelius femoralis	Animalia	Arthropoda	Insecta	Hymenoptera	Bethylidae
4453218	4453218	Laemophloeus monilis	Animalia	Arthropoda	Insecta	Coleoptera	Laemophloeidae
5755175	5755175	Laemostenus terricola	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae
4454813	4454813	Lagria hirta	Animalia	Arthropoda	Insecta	Coleoptera	Lagriidae
6267761	6267761	Lamia textor	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae
1924713	1924713	Lampides boeticus	Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae
4518037	4518037	Lamprochromus bifasciatus	Animalia	Arthropoda	Insecta	Diptera	Dolichopodidae
1607021	1607021	Lamprochromus strobli	Animalia	Arthropoda	Insecta	Diptera	Dolichopodidae
4524070	4524070	Lampropteryx otregiata	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae
4524072	4524072	Lampropteryx suffumata	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae
4483252	4483252	Lamprotettix nitidulus	Animalia	Arthropoda	Insecta	Hemiptera	Cicadellidae
5090150	5090150	Lamyra fulva	Animalia	Arthropoda	Insecta	Diptera	Asilidae
5090155	5090155	Lamyra marginata	Animalia	Arthropoda	Insecta	Diptera	Asilidae
4489285	4489285	Laodelphax striatellus	Animalia	Arthropoda	Insecta	Hemiptera	Delphacidae
5124029	5124029	Laothoe amurensis	Animalia	Arthropoda	Insecta	Lepidoptera	Sphingidae
5124007	5124007	Laothoe populi	Animalia	Arthropoda	Insecta	Lepidoptera	Sphingidae
1660545	1660545	Laphria ephippium	Animalia	Arthropoda	Insecta	Diptera	Asilidae
1660674	1660674	Laphria flava	Animalia	Arthropoda	Insecta	Diptera	Asilidae
4515211	4515211	Laphria gibbosa	Animalia	Arthropoda	Insecta	Diptera	Asilidae
9539217	9539217	Laphria gilva	Animalia	Arthropoda	Insecta	Diptera	Asilidae
8183385	8183385	Lapposyrphus lapponicus	Animalia	Arthropoda	Insecta	Diptera	Syrphidae
1957266	1957266	Larentia clavaria	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae
2159204	2159204	Larinioides cornutus	Animalia	Arthropoda	Arachnida	Araneae	Araneidae
2159207	2159207	Larinioides patagiatus	Animalia	Arthropoda	Arachnida	Araneae	Araneidae
1183723	1183723	Larinus sturnus	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae
1183747	1183747	Larinus turbinatus	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae
8188313	8188313	Lasaeola coracina	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae
2157968	2157968	Lasaeola tristis	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae
4488865	4488865	Lasiacantha capucina	Animalia	Arthropoda	Insecta	Hemiptera	Tingidae
1734826	1734826	Lasiocampa quercus	Animalia	Arthropoda	Insecta	Lepidoptera	Lasiocampidae
1734704	1734704	Lasiocampa trifolii	Animalia	Arthropoda	Insecta	Lepidoptera	Lasiocampidae
1354990	1354990	Lasioglossum albipes	Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae
1354476	1354476	Lasioglossum calceatum	Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae
1354773	1354773	Lasioglossum fratellum	Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae
1354651	1354651	Lasioglossum fulvicorne	Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae
1354874	1354874	Lasioglossum intermedium	Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae
1354102	1354102	Lasioglossum laticeps	Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae
1354007	1354007	Lasioglossum lativentre	Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae
1353805	1353805	Lasioglossum leucozonium	Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae
1355330	1355330	Lasioglossum lucidulum	Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae
1355085	1355085	Lasioglossum malachurum	Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae
1354422	1354422	Lasioglossum minutissimum	Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae
1354206	1354206	Lasioglossum morio	Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae
1353610	1353610	Lasioglossum nitidiusculum	Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae
1354342	1354342	Lasioglossum parvulum	Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae
1354263	1354263	Lasioglossum pauxillum	Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae
1354742	1354742	Lasioglossum punctatissimum	Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae
1354623	1354623	Lasioglossum quadrinotatulum	Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae
1354058	1354058	Lasioglossum rufitarse	Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae
1355126	1355126	Lasioglossum semilucens	Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae
1354966	1354966	Lasioglossum sexnotatum	Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae
1354041	1354041	Lasioglossum villosulum	Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae
1353731	1353731	Lasioglossum xanthopus	Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae
1355337	1355337	Lasioglossum zonulum	Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae
4535636	4535636	Lasiommata maera	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae
